TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,MRG,REGULARITY,CHURN
K > 24 month,3000.0,4.0,3002.0,1001.0,8.0,266.0,1.0,8.0,NO,32,1
K > 24 month,1500.0,3.0,1980.0,660.0,5.0,4341.0,1.0,0.0,NO,29,1
K > 24 month,9850.0,32.0,9639.0,3213.0,38.0,2700.0,4.0,10.0,NO,49,1
I 18-21 month,1000.0,2.0,999.0,333.0,2.0,763.0,8.0,0.0,NO,1,1
K > 24 month,1200.0,3.0,1180.0,393.0,3.0,2955.0,28.0,1.0,NO,21,1
K > 24 month,500.0,1.0,493.0,164.0,2.0,1656.0,8.0,8.0,NO,2,1
K > 24 month,5900.0,11.0,5901.0,1967.0,15.0,8948.0,18.0,50.0,NO,29,1
K > 24 month,3000.0,5.0,3000.0,1000.0,6.0,3763.0,12.0,40.0,NO,47,1
K > 24 month,200.0,2.0,901.0,300.0,4.0,240.0,2.0,16.0,NO,17,1
K > 24 month,250.0,1.0,250.0,83.0,1.0,2840.0,105.0,9.0,NO,33,1
K > 24 month,1000.0,2.0,989.0,330.0,3.0,369.0,26.0,24.0,NO,18,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,8.0,21.0,NO,19,1
K > 24 month,2400.0,9.0,2800.0,933.0,10.0,1434.0,9.0,33.0,NO,5,1
K > 24 month,7000.0,3.0,7997.0,2666.0,5.0,934.0,0.0,20.0,NO,2,1
K > 24 month,1000.0,1.0,1010.0,337.0,1.0,28.0,0.0,12.0,NO,1,1
K > 24 month,1600.0,8.0,1594.0,531.0,9.0,0.0,486.0,18.0,NO,24,1
K > 24 month,4000.0,8.0,4600.0,1533.0,13.0,9.0,62.0,65.0,NO,29,1
K > 24 month,1500.0,3.0,1500.0,500.0,3.0,2333.0,36.0,47.0,NO,6,1
K > 24 month,2500.0,16.0,2515.0,838.0,18.0,834.0,25.0,1.0,NO,47,1
K > 24 month,12350.0,34.0,13012.0,4337.0,54.0,10686.0,43.0,7.0,NO,50,1
K > 24 month,4100.0,8.0,4100.0,1367.0,8.0,1673.0,8.0,54.0,NO,2,1
K > 24 month,3000.0,4.0,2983.0,994.0,4.0,11276.0,3.0,18.0,NO,8,1
K > 24 month,3000.0,6.0,2990.0,997.0,6.0,850.0,15.0,95.0,NO,22,1
G 12-15 month,5300.0,12.0,5297.0,1766.0,16.0,2607.0,28.0,8.0,NO,41,1
K > 24 month,1200.0,6.0,2000.0,667.0,8.0,815.0,40.0,46.0,NO,19,1
H 15-18 month,3000.0,1.0,6000.0,2000.0,2.0,2480.0,3.0,34.0,NO,35,1
K > 24 month,6500.0,9.0,6441.0,2147.0,13.0,9990.0,81.0,9.0,NO,49,1
K > 24 month,3000.0,8.0,2990.0,997.0,10.0,6519.0,6.0,0.0,NO,38,1
K > 24 month,700.0,3.0,711.0,237.0,5.0,0.0,3.0,23.0,NO,7,1
K > 24 month,1400.0,4.0,1655.0,552.0,9.0,2251.0,0.0,2.0,NO,18,1
K > 24 month,3800.0,5.0,3787.0,1262.0,6.0,6457.0,5.0,13.0,NO,22,1
H 15-18 month,3000.0,1.0,5985.0,1995.0,9.0,1360.0,50.0,139.0,NO,24,1
K > 24 month,500.0,1.0,1000.0,333.0,2.0,21.0,8.0,43.0,NO,9,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,2.0,16.0,10.0,NO,6,1
K > 24 month,700.0,2.0,692.0,231.0,5.0,0.0,9.0,4.0,NO,17,1
K > 24 month,1500.0,2.0,1492.0,497.0,3.0,2770.0,7.0,4.0,NO,40,1
K > 24 month,1300.0,3.0,1290.0,430.0,7.0,4135.0,4.0,36.0,NO,34,1
K > 24 month,4000.0,5.0,3999.0,1333.0,6.0,593.0,8.0,3.0,NO,12,1
K > 24 month,6600.0,10.0,7002.0,2334.0,11.0,2852.0,11.0,29.0,NO,20,1
K > 24 month,1750.0,3.0,2350.0,783.0,7.0,606.0,98.0,40.0,NO,21,1
K > 24 month,300.0,1.0,288.0,96.0,2.0,207.0,7.0,10.0,NO,9,1
J 21-24 month,73500.0,29.0,88688.0,29563.0,37.0,14848.0,178.0,29.0,NO,53,1
K > 24 month,400.0,3.0,399.0,133.0,4.0,181.0,0.0,0.0,NO,1,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,1.0,3.0,NO,15,1
K > 24 month,2000.0,3.0,1996.0,665.0,3.0,0.0,26.0,0.0,NO,2,1
K > 24 month,3600.0,5.0,3587.0,1196.0,7.0,652.0,1.0,25.0,NO,2,1
K > 24 month,3500.0,4.0,6009.0,2003.0,7.0,11909.0,1.0,92.0,NO,30,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,10.0,0.0,9.0,NO,4,1
K > 24 month,5000.0,10.0,5210.0,1737.0,14.0,9547.0,1.0,25.0,NO,16,1
K > 24 month,1050.0,4.0,944.0,315.0,3.0,2193.0,0.0,3.0,NO,20,1
K > 24 month,1800.0,5.0,2000.0,667.0,6.0,4.0,33.0,11.0,NO,34,1
K > 24 month,11500.0,23.0,11457.0,3819.0,27.0,24619.0,0.0,4.0,NO,58,1
K > 24 month,1700.0,5.0,1653.0,551.0,7.0,1.0,3.0,12.0,NO,18,1
K > 24 month,800.0,3.0,800.0,267.0,3.0,460.0,8.0,8.0,NO,6,1
K > 24 month,200.0,1.0,200.0,67.0,2.0,0.0,0.0,1.0,NO,7,1
K > 24 month,500.0,1.0,1314.0,438.0,3.0,0.0,537.0,9.0,NO,1,1
K > 24 month,3400.0,6.0,3437.0,1146.0,7.0,0.0,97.0,17.0,NO,31,1
K > 24 month,500.0,1.0,490.0,163.0,1.0,1727.0,7.0,0.0,NO,17,1
